Commodity,Operator ID,name,Intrastate Miles,Intrastate HCA Miles,Interstate Miles,Interstate HCA Miles,miles,Miles of Gathering,Interstate Tanks,Intrastate Tanks,tanks
CRUDE OIL,32233,"BESCO OPERATING, L.P.",6.3,6.28,,,6,5.9,0,0,0
CRUDE OIL,32251,"RIBOST TERMINAL LLC, DBA WORLD OIL TERMINALS",0.2,0.22,,,0,0.2,0,0,0
CRUDE OIL,32283,"FRONT RANGE PIPELINE, LLC.",428.1,91.57,,,428,0,0,8,8
CRUDE OIL,32288,"WHITE CLIFFS PIPELINE, LLC",,,"1,054.50",184.42,1055,0,0,0,0
CRUDE OIL,32296,TARGA RESOURCES OPERATING LLC,208.5,36.5,,,209,56.5,0,10,10
CRUDE OIL,32331,"PASADENA REFINING SYSTEM, INC.",2.4,2.44,,,2,2.4,0,1,1
CRUDE OIL,32346,"TOTAL PETROCHEMICALS PIPELINE USA , INC.",13.6,13.6,,,14,13.6,0,0,0
CRUDE OIL,32364,"VALERO REFINING-NEW ORLEANS, L.L.C.",1.4,1.35,,,1,0,0,0,0
CRUDE OIL,32365,GULFPORT ENERGY CORPORATION,1.8,0.75,,,2,1.8,0,0,0
CRUDE OIL,32407,"GENESIS PIPELINE TEXAS, L.P.",93.6,73.55,,,94,0,0,5,5
CRUDE OIL,32411,"GENESIS PIPELINE ALABAMA, LLC",31.3,13.96,,,31,0,0,0,0
CRUDE OIL,32414,"MARKWEST OKLAHOMA GAS COMPANY, L.L.C.",15.8,12.94,,,16,0.1,0,0,0
CRUDE OIL,32447,"HAWTHORN OIL TRANSPORTATION (NORTH DAKOTA), INC.",4.1,0.73,,,4,0,0,0,0
CRUDE OIL,32450,"ROADRUNNER PIPELINE, L.L.C.",,,69.3,1.67,69,0,0,0,0
CRUDE OIL,32483,"BRIDGER LAKE, LLC",25.3,3,,,25,0,0,1,1
CRUDE OIL,32488,"ENI US OPERATING CO, INC",17.4,17.4,,,17,0,0,0,0
CRUDE OIL,32492,"GENESIS CRUDE OIL, L.P.",2.2,1.51,,,2,0,0,2,2
CRUDE OIL,32503,"CALUMET SHREVEPORT FUELS, LLC",6.4,6.35,,,6,0,0,3,3
CRUDE OIL,32537,WYOMING PIPELINE COMPANY,132.4,1.5,,,132,21,0,4,4
CRUDE OIL,32540,ELECTRAGAS INC.,3.3,3.33,,,3,3.3,0,0,0
CRUDE OIL,32551,"BKEP PIPELINE, LLC",584.7,272,16.3,0,601,0,0,151,151
CRUDE OIL,32572,"TOLEDO REFINING COMPANY, LLC",,,,,,,0,2,2
CRUDE OIL,32575,"DEEPROCK OIL OPERATING, LLC",13.3,2.25,,,13,0,0,16,16
CRUDE OIL,32595,"HIGH POINT GAS GATHERING, LLC",6.1,0,,,6,6.1,0,0,0
CRUDE OIL,32614,"WILLIAMS OLEFINS FEEDSTOCK PIPELINES, LLC",0.2,0.15,,,0,0,0,0,0
CRUDE OIL,32619,"HILAND CRUDE, LLC",258.1,91.96,,,258,50.1,0,4,4
